Team name,Code,FIFA rank,Group
Russia,RUS,493,A
Saudi Arabia,SAU,462,A
Egypt,EGY,636,A
Uruguay,URU,976,A
Portugal,POR,1306,B
Spain,SPA,1162,B
Morocco,MOR,671,B
Iran,IRA,727,B
France,FRA,1166,C
Australia,AUS,700,C
Peru,PER,1106,C
Denmark,DEN,1054,C
Argentina,ARG,1254,D
Iceland,ICE,930,D
Croatia,CRO,975,D
Nigeria,NIG,635,D
Brazil,BRA,1384,E
Switzerland,SWI,1179,E
Costa Rica,COS,858,E
Serbia,SER,732,E
Germany,GER,1544,F
Mexico,MEX,1008,F
Sweden,SWE,889,F
South Korea,SOU,520,F
Belgium,BEL,1346,G
Panama,PAN,574,G
Tunisia,TUN,1012,G
England,ENG,1040,G
Poland,POL,1128,H
Senegal,SEN,825,H
Colombia,COL,989,H
Japan,JAP,528,H
